CATEGORY_ID,PARENT_CATEGORY_ID,NAME
30211,30201,다육식물
30212,30201,중대형식물
30213,30201,소형식물
30214,30201,선인장
30215,30201,행잉식물
30216,30201,난·분재
30217,30201,모종
30218,30201,씨앗·구근
30219,30202,조화꽃
30220,30202,조화가지
30221,30202,조화·화병세트
30222,30202,조화식물
30223,30202,조화행잉플랜트
30224,30202,조화꽃바구니
30225,30202,조화꽃다발
30226,30203,절화
30227,30203,꽃다발
30228,30205,꽃다발
30229,30205,꽃바구니
30230,30205,플라워박스
30231,30206,화병
30232,30206,화분
30233,30206,화분받침대
30234,30209,원예도구
30235,30209,흙·비료·자갈
30236,30209,식물재배기
30237,30209,식물생장등
30300,30000,홈갤러리
30301,30300,패브릭포스터
30302,30300,그림·사진
30303,30300,액자
30304,30300,판화 에디션
30305,30301,일러스트·드로잉
30306,30301,명화
30307,30301,식물·꽃
30308,30301,풍경·자연
30309,30301,패턴
30310,30301,레터링
30311,30301,주문제작
30312,30302,일러스트·드로잉
30313,30302,추상화
30314,30302,명화
30315,30302,풍경·자연
30316,30302,식물·꽃
30317,30302,패턴
30318,30302,레터링
30319,30302,팝아트·빈티지
30320,30302,주문제작
30400,30000,인테리어소품
30401,30400,트레이·보석함
30402,30400,모빌·가랜드
30403,30400,장식소품
30404,30400,마그넷·도어벨
30405,30400,워터볼
30406,30400,오르골
30407,30400,도어사인
30408,30400,피규어·프라모델
30409,30400,기타장식용품
30410,30400,인테리어 분수
30500,30000,시계
30501,30500,벽시계
30502,30500,알람·탁상시계
30503,30500,욕실방수시계
30504,30500,타이머·스탑워치
30600,30000,월데코·장식
30601,30600,데코스티커
30602,30600,마크라메
30603,30600,드림·썬캐쳐
30604,30600,기타
30605,30601,레터링·메시지
30606,30601,도어·스위치
30607,30601,입체
30608,30601,식물·꽃
30609,30601,사물·동물
30610,30601,패턴
30611,30601,키재기
30700,30000,데스크·디자인문구
30701,30700,디자인문구
30702,30700,데스크테리어
30703,30700,기타디자인용품
30704,30701,달력
30705,30701,다이어리·플래너
30706,30701,노트·메모지
30707,30701,마스킹테이프
30708,30701,스티커
30709,30701,카드·포스터
30710,30701,포토앨범
30711,30701,학용품·미술도구
30712,30701,복사용지·지류
30713,30702,타공판·보드
30714,30702,모니터받침대
30715,30702,데스크매트·마우스패드
30716,30702,데스크수납·정리
30717,30702,모니터암·거치대
30718,30703,파우치·지갑
30719,30703,에코백
30720,30703,기타디자인용품
30800,30000,DIY·취미·공예
30801,30800,DIY명화그리기
30802,30800,DIY보석십자수
30803,30800,DIY비즈
30804,30800,DIY공예·미니어처
30805,30800,DIY자수
